taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
9.775,8.64,8.48,25,39
10.575,9.24,8.68,25,29
9.625,8.0,8.64,25,29
9.425,7.72,8.72,25,35
10.625,8.64,9.72,25,36
8.5,7.76,6.84,25,28
8.725,7.36,8.4,25,34
9.4,8.04,8.24,25,41
9.85,9.24,8.72,25,49
9.775,8.32,9.0,25,31
7.775,7.24,7.2,25,33
9.025,9.8,6.8,25,51
9.25,7.56,8.32,25,29
9.55,7.84,9.16,25,51
9.95,8.76,9.28,25,37
8.775,7.48,7.56,25,29
9.3,7.2,9.16,25,40
11.175,9.36,10.12,25,45
10.1,9.2,8.72,25,58
8.225,6.24,7.92,25,26
10.0,7.68,9.32,25,27
9.05,7.76,8.52,25,47
10.025,7.64,9.8,25,32
8.95,7.12,8.2,25,32
11.025,9.24,9.68,25,31
10.15,7.36,10.36,25,35
8.875,8.16,7.48,25,52
10.0,7.92,9.08,25,33
9.05,7.04,9.0,25,32
10.3,10.2,8.76,25,52
8.6,6.72,8.48,25,29
9.0,7.24,8.76,25,46
10.775,9.64,9.84,25,43
9.4,7.4,8.88,25,37
10.225,10.56,8.04,25,51
9.725,9.36,7.76,25,39
10.5,10.04,8.84,25,48
8.775,6.8,8.24,25,33
10.0,9.48,8.64,25,39
7.825,5.4,8.24,25,25
10.975,10.2,10.04,25,55
9.3,7.6,8.28,25,29
9.05,8.56,7.64,25,51
10.15,8.52,9.12,25,38
8.425,6.92,8.04,25,37
9.025,6.84,8.6,25,28
9.15,7.52,8.6,25,42
9.5,8.28,9.04,25,38
10.375,10.0,8.72,25,57
8.975,7.76,8.08,25,45
9.075,7.84,8.16,25,32
9.65,8.36,8.8,25,48
8.7,6.16,8.76,25,27
9.0,7.96,7.92,25,38
9.175,8.56,8.32,25,37
7.8,7.16,6.32,25,24
9.375,7.56,8.56,25,33
9.0,7.76,7.64,25,32
9.9,7.32,9.8,25,34
9.55,8.52,8.6,25,41
9.9,9.96,8.56,25,50
10.3,8.32,9.6,25,43
10.475,8.76,9.4,25,33
9.225,8.16,7.96,25,41
10.325,8.32,10.12,25,53
8.7,7.52,8.36,25,36
9.2,7.6,8.76,25,34
9.425,7.64,9.0,25,40
8.325,7.6,7.12,25,34
8.85,7.72,8.04,25,43
9.725,7.96,8.88,25,28
9.9,8.84,8.4,25,36
9.9,8.8,8.56,25,47
9.4,6.6,9.44,25,30
10.8,9.64,9.36,25,57
9.725,8.72,8.08,25,30
9.625,8.04,8.88,25,40
9.2,7.24,8.72,25,35
9.4,7.48,9.6,25,40
8.8,7.0,8.68,25,30
9.15,8.4,8.76,25,60
8.65,7.32,7.92,25,32
8.4,6.76,7.68,25,30
10.275,8.44,9.44,25,50
10.125,7.16,10.04,25,30
9.7,9.08,8.4,25,40
8.825,7.28,7.84,25,38
9.55,8.68,8.68,25,41
8.9,7.24,8.2,25,31
9.6,7.28,9.4,25,37
9.6,8.8,8.8,25,50
9.2,6.72,9.0,25,33
9.25,6.88,9.12,25,28
9.25,8.24,8.4,25,35
9.9,9.16,8.8,25,62
9.075,6.96,9.2,25,35
8.4,5.96,8.48,25,28
8.725,6.68,8.28,25,28
9.525,9.24,8.12,25,41
10.175,8.4,9.08,25,28
