taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
28.3,9.88,7.08,25,40
25.5,11.0,9.08,25,36
28.7,11.04,8.48,25,42
32.0,12.12,9.36,25,47
28.6,12.32,8.44,25,45
29.7,11.32,8.64,25,42
23.6,9.88,7.68,25,37
26.5,9.16,8.4,25,41
25.6,10.16,8.76,25,43
28.4,10.6,9.92,25,44
30.0,9.8,8.4,25,49
30.3,9.64,9.32,25,46
23.4,9.4,8.04,25,38
22.7,9.04,8.04,25,38
23.9,9.84,6.92,25,35
34.3,13.68,8.96,25,45
30.2,11.32,8.56,25,47
29.0,10.72,9.24,25,43
26.3,9.56,7.64,25,44
34.1,11.4,11.04,25,51
24.6,9.04,8.64,25,38
27.0,9.56,7.0,25,35
29.9,10.72,10.64,25,43
28.0,8.96,8.04,25,47
26.5,10.04,7.08,25,36
28.7,11.16,8.88,25,42
28.2,9.64,8.8,25,40
30.0,10.16,7.72,25,43
31.1,10.24,9.28,25,52
29.0,10.44,9.04,25,44
27.3,9.0,8.6,25,45
27.7,11.08,8.28,25,39
28.8,10.44,8.96,25,46
29.0,10.4,9.0,25,42
24.4,10.32,7.6,25,36
26.6,9.96,7.96,25,43
26.6,10.16,9.12,25,41
30.0,11.68,8.68,25,45
29.5,10.96,8.36,25,38
30.6,10.36,8.76,25,46
28.5,10.4,9.04,25,45
33.4,13.12,9.44,25,47
27.2,9.96,8.64,25,42
29.7,11.28,8.8,25,49
33.7,12.32,11.0,25,49
32.8,12.04,9.96,25,46
27.9,10.6,8.6,25,38
30.3,11.04,8.88,25,47
27.6,9.92,7.8,25,40
31.1,11.28,8.96,25,48
30.1,9.44,9.28,25,43
23.6,9.16,8.44,25,39
27.4,10.96,7.52,25,39
29.4,11.52,9.28,25,42
27.6,10.92,8.84,25,38
34.0,12.68,9.52,25,49
23.4,8.52,6.76,25,34
26.9,10.12,9.32,25,40
26.3,9.72,9.16,25,40
31.0,11.48,9.68,25,44
30.3,11.36,9.56,25,43
26.5,10.0,8.84,25,39
29.1,10.24,8.84,25,45
32.2,10.92,8.56,25,50
28.7,9.52,8.88,25,49
28.0,10.72,9.96,25,42
32.9,12.52,10.4,25,46
27.2,9.52,8.36,25,40
29.0,10.84,9.12,25,42
33.9,14.08,8.84,25,49
33.8,13.2,10.2,25,46
32.1,9.96,8.88,25,49
26.1,9.16,8.56,25,41
31.1,10.28,9.88,25,51
35.5,11.96,9.84,25,49
26.5,10.76,9.4,25,37
31.7,11.16,9.28,25,47
28.5,11.16,9.72,25,42
29.7,10.6,8.68,25,40
33.4,12.04,9.28,25,47
27.0,10.6,9.0,25,46
25.0,9.28,7.44,25,38
34.2,12.12,8.36,25,47
29.0,11.2,9.16,25,44
28.1,9.92,8.92,25,43
25.8,9.52,8.36,25,38
31.0,11.48,8.8,25,46
31.8,10.8,8.92,25,46
26.0,9.48,7.96,25,42
28.7,10.4,9.04,25,41
29.9,11.16,8.28,25,45
29.0,11.24,8.64,25,50
29.7,10.52,7.52,25,46
28.3,11.76,9.4,25,42
27.2,10.2,9.96,25,44
32.8,11.72,9.36,25,47
28.6,10.36,8.4,25,46
28.4,10.76,8.64,25,41
26.4,10.68,8.76,25,39
26.4,9.76,9.72,25,43
