taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
40.6,23.0,9.52,25,67
39.8,23.08,9.96,25,65
37.3,19.2,9.24,25,83
40.5,20.68,10.2,25,61
35.1,19.56,8.6,25,69
32.0,17.16,7.6,25,54
38.0,21.84,9.36,25,93
34.7,20.04,8.72,25,79
38.2,24.44,9.72,25,102
36.8,21.84,8.92,25,86
46.9,25.56,11.08,25,106
32.4,20.72,7.8,25,71
41.9,22.48,8.96,25,68
32.1,21.52,7.4,25,84
33.1,17.12,8.04,25,53
36.4,18.0,9.64,25,63
39.7,21.4,9.12,25,78
37.1,19.8,8.72,25,89
34.3,23.8,8.72,25,92
31.4,17.36,7.68,25,53
35.7,17.08,9.4,25,67
34.3,17.44,8.24,25,61
40.7,25.04,9.72,25,80
42.0,21.32,9.96,25,67
32.5,18.56,7.68,25,58
36.8,17.68,9.68,25,56
25.2,13.12,7.68,25,51
34.9,19.04,9.48,25,83
33.1,17.8,8.92,25,59
34.1,18.36,7.92,25,61
34.0,18.24,7.64,25,72
34.0,24.84,8.36,25,90
32.2,17.0,7.44,25,60
38.9,20.8,9.08,25,78
40.7,20.76,9.76,25,78
35.3,22.04,8.72,25,80
32.0,14.2,7.56,25,59
42.1,18.76,10.16,25,76
36.1,23.44,8.88,25,92
34.3,18.08,8.0,25,70
38.5,22.16,8.92,25,86
37.3,22.0,8.72,25,79
41.9,25.8,9.52,25,85
32.3,17.16,8.12,25,57
26.4,16.12,7.76,25,65
33.2,17.4,7.6,25,68
38.4,17.76,9.64,25,64
38.6,23.92,9.16,25,71
39.8,22.92,9.52,25,79
38.8,19.64,8.92,25,66
35.9,18.52,9.0,25,76
39.0,25.0,9.8,25,84
33.6,22.28,8.44,25,105
33.8,21.0,8.84,25,94
40.6,21.52,8.96,25,95
37.6,18.28,9.56,25,77
36.8,20.36,8.24,25,62
31.6,16.68,8.2,25,63
35.1,17.56,8.92,25,63
39.5,23.56,8.6,25,85
38.1,21.76,8.96,25,75
34.4,18.36,8.76,25,55
34.9,20.48,8.32,25,76
30.0,16.76,7.52,25,70
31.5,15.68,7.88,25,55
26.4,15.24,7.04,25,48
36.3,15.0,9.48,25,67
39.4,26.04,9.08,25,96
37.3,17.6,9.6,25,53
35.7,25.08,8.44,25,104
33.9,18.68,8.48,25,67
32.6,18.4,8.12,25,75
34.5,18.2,8.16,25,73
33.2,14.64,8.32,25,50
34.0,19.0,8.48,25,60
36.8,18.8,9.16,25,57
40.8,27.24,10.0,25,107
33.1,21.0,8.6,25,84
35.9,15.48,9.24,25,72
34.0,17.16,8.48,25,80
36.1,18.08,8.6,25,53
35.2,18.72,8.16,25,66
39.6,21.24,8.92,25,78
37.3,17.92,9.92,25,63
39.1,21.84,9.16,25,65
35.0,18.88,8.56,25,71
38.6,17.96,9.32,25,67
35.8,20.28,8.8,25,79
34.6,18.64,8.08,25,75
34.0,21.36,8.36,25,81
36.7,19.24,8.72,25,67
35.8,19.32,8.64,25,63
33.6,18.4,8.52,25,69
40.1,19.4,9.44,25,76
37.7,19.48,8.56,25,60
37.6,24.0,9.0,25,86
35.0,19.28,8.4,25,69
38.3,25.56,9.24,25,87
38.4,19.2,9.04,25,65
41.8,21.04,9.28,25,63
