taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
15.433333333333334,7.4,8.0,25,37
15.1,6.52,9.72,25,29
12.966666666666667,5.0,8.92,25,23
12.7,4.52,8.6,25,28
13.9,5.08,9.68,25,33
13.6,4.96,8.84,25,30
12.366666666666667,5.88,7.36,25,29
11.733333333333333,5.88,7.64,25,30
11.633333333333333,3.72,8.72,25,24
13.233333333333333,5.08,9.4,25,31
13.733333333333333,4.08,9.52,25,29
14.333333333333334,7.4,8.52,25,30
13.866666666666667,6.84,8.76,25,34
12.333333333333334,4.28,9.24,25,37
13.4,4.96,8.2,25,27
15.6,7.08,8.24,25,40
14.1,5.84,8.72,25,29
15.266666666666667,6.72,9.08,25,35
13.0,6.12,7.28,25,32
12.5,5.12,8.04,25,29
13.033333333333333,5.68,8.08,25,29
13.933333333333334,5.68,8.92,25,31
14.933333333333334,5.72,9.56,25,37
15.2,6.6,9.04,25,29
15.333333333333334,5.84,10.12,25,32
13.866666666666667,5.6,8.36,25,32
13.666666666666666,5.8,8.24,25,30
12.266666666666667,5.16,7.32,25,26
13.0,5.56,8.68,25,32
13.1,6.2,7.32,25,27
13.866666666666667,5.44,9.16,25,27
17.0,8.72,9.28,25,37
13.9,4.68,8.72,25,31
13.166666666666666,4.4,9.68,25,32
14.666666666666666,6.08,10.48,25,34
15.466666666666667,7.72,8.68,25,28
12.0,4.96,8.52,25,38
13.933333333333334,6.72,9.72,25,37
15.033333333333333,6.72,8.36,25,33
13.166666666666666,5.4,8.88,25,29
13.0,5.04,8.68,25,25
14.166666666666666,4.92,10.8,25,27
17.9,7.56,10.28,25,44
12.9,5.08,8.2,25,28
14.166666666666666,6.8,8.4,25,32
16.7,6.68,10.48,25,34
16.066666666666666,6.2,10.84,25,33
14.433333333333334,7.76,8.4,25,29
12.5,4.44,8.72,25,26
15.033333333333333,7.24,9.08,25,35
14.133333333333333,5.44,9.92,25,35
14.433333333333334,6.96,7.68,25,27
13.666666666666666,5.84,8.0,25,27
14.566666666666666,7.76,8.0,25,41
14.766666666666667,6.12,9.04,25,31
13.166666666666666,6.88,8.0,25,32
14.666666666666666,6.4,8.52,25,29
13.533333333333333,5.76,8.68,25,30
14.166666666666666,6.48,8.68,25,32
15.966666666666667,7.64,9.36,25,37
14.533333333333333,6.4,8.8,25,28
14.966666666666667,6.8,8.92,25,35
13.066666666666666,5.2,8.6,25,31
16.0,7.52,8.8,25,37
14.366666666666667,6.52,9.32,25,36
13.833333333333334,5.2,9.08,25,35
11.266666666666667,3.92,7.48,25,28
14.0,5.52,9.96,25,26
14.6,6.28,9.56,25,35
16.3,7.64,8.8,25,29
11.3,4.48,6.96,25,26
13.8,6.08,8.2,25,34
14.4,5.32,8.76,25,29
15.133333333333333,6.2,9.4,25,34
13.7,7.04,7.92,25,35
14.166666666666666,5.52,9.92,25,35
15.433333333333334,6.92,8.12,25,35
12.533333333333333,4.28,9.24,25,31
15.2,7.12,8.4,25,31
15.466666666666667,5.8,9.16,25,34
15.833333333333334,6.92,9.2,25,37
15.066666666666666,6.36,8.96,25,34
11.4,4.6,8.32,25,34
13.533333333333333,6.96,9.04,25,44
14.633333333333333,6.88,8.92,25,36
14.4,6.2,9.24,25,28
13.966666666666667,5.48,9.36,25,29
12.933333333333334,5.08,7.96,25,31
13.033333333333333,5.64,7.88,25,24
17.333333333333332,8.68,10.56,25,37
12.0,3.56,9.44,25,29
15.866666666666667,6.92,9.6,25,35
12.666666666666666,5.68,7.04,25,28
12.8,5.96,8.6,25,33
14.5,5.04,10.44,25,31
16.0,7.32,9.28,25,29
14.2,6.24,9.04,25,31
14.6,7.2,8.2,25,32
12.366666666666667,4.48,8.16,25,28
13.1,5.52,8.44,25,33
