taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
14.45,3.32,7.56,25,28
12.75,3.16,7.92,25,22
17.35,5.04,9.44,25,32
14.15,3.52,7.8,25,32
13.4,3.32,9.2,25,23
16.7,4.52,8.72,25,32
16.75,4.36,10.8,25,32
14.65,4.2,9.56,25,27
16.75,4.12,9.32,25,30
14.85,4.04,8.68,25,27
18.9,4.52,8.88,25,40
20.85,5.0,10.44,25,38
16.9,4.36,9.64,25,31
15.25,3.24,9.36,25,29
17.85,4.68,7.88,25,26
16.85,5.44,8.72,25,33
16.55,4.28,9.84,25,31
19.4,5.56,9.6,25,36
17.2,4.72,9.2,25,27
15.15,3.56,8.24,25,28
19.35,5.44,8.28,25,31
16.5,3.6,9.64,25,34
18.7,4.68,10.04,25,34
15.2,3.44,8.96,25,27
13.95,4.4,6.12,25,24
13.5,3.2,7.52,25,25
13.5,2.72,9.28,25,26
15.9,3.4,7.48,25,24
13.8,3.52,8.92,25,25
15.35,4.32,8.8,25,25
16.25,4.0,9.4,25,30
13.9,3.36,9.0,25,26
14.65,3.56,8.4,25,30
18.2,4.28,9.64,25,38
16.65,3.52,9.52,25,29
16.25,4.44,9.32,25,30
17.2,4.16,8.08,25,29
16.05,3.96,8.4,25,25
13.6,4.04,7.76,25,23
17.0,4.68,8.92,25,32
11.2,2.48,7.72,25,22
17.15,4.44,9.08,25,33
17.7,4.76,11.0,25,34
13.8,3.36,7.2,25,25
18.4,3.96,10.6,25,35
18.95,4.36,9.92,25,38
17.05,4.56,9.36,25,34
14.15,3.6,8.2,25,25
15.0,4.64,9.72,25,29
18.55,4.92,8.16,25,35
14.4,3.04,8.48,25,32
14.45,3.44,8.64,25,27
17.9,5.44,7.44,25,31
14.2,4.4,7.16,25,26
15.7,3.12,8.04,25,28
19.35,4.16,9.44,25,34
15.75,4.12,9.08,25,27
15.45,3.76,9.08,25,29
13.55,2.88,9.0,25,23
16.8,4.56,8.84,25,33
15.3,4.4,7.92,25,29
16.95,3.8,9.4,25,27
15.9,4.16,8.68,25,33
13.3,3.44,7.0,25,26
18.0,4.16,9.48,25,34
15.8,3.56,9.56,25,30
17.7,3.72,8.24,25,30
13.5,3.36,8.2,25,26
16.95,4.24,9.0,25,31
15.65,3.36,8.8,25,29
14.85,3.52,8.12,25,24
15.5,4.56,9.48,25,30
17.45,4.2,9.52,25,32
14.2,3.24,8.72,25,27
14.6,4.12,8.36,25,30
19.95,5.68,8.48,25,36
16.45,4.16,8.32,25,32
16.4,4.16,8.24,25,33
23.95,5.2,11.52,25,42
16.55,3.48,8.48,25,29
14.65,4.24,8.8,25,29
17.9,4.52,10.2,25,30
16.85,4.24,8.36,25,34
13.6,3.76,7.88,25,28
13.9,3.68,7.6,25,25
13.1,3.64,8.64,25,29
14.95,3.68,8.44,25,30
15.05,4.12,7.64,25,25
14.45,3.6,8.24,25,31
16.8,3.8,9.64,25,34
16.3,3.8,9.12,25,33
12.15,2.84,7.52,25,20
15.65,3.8,8.16,25,30
14.15,3.2,8.48,25,26
16.05,4.32,9.92,25,30
15.5,4.24,6.96,25,27
14.05,3.68,7.48,25,32
17.0,4.12,9.0,25,32
18.4,4.52,10.04,25,34
14.05,3.92,8.24,25,27
