taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
5.325,0.6,8.92,25,18
5.55,0.72,9.16,25,21
5.575,0.76,9.16,25,19
5.25,0.96,8.44,25,24
5.625,0.84,9.2,25,19
5.3,0.92,8.56,25,18
6.55,1.32,10.16,25,25
5.475,0.68,9.12,25,21
5.6,0.92,9.04,25,20
5.25,1.0,8.4,25,17
4.475,0.6,7.56,25,23
5.625,0.64,9.36,25,19
5.025,0.8,8.24,25,17
4.975,0.8,8.16,25,18
6.325,0.96,10.16,25,24
5.4,0.84,8.84,25,20
4.95,0.72,8.2,25,18
5.425,0.72,8.96,25,20
4.525,0.76,7.48,25,19
4.725,0.88,7.72,25,21
6.225,1.12,9.84,25,20
5.9,1.12,9.32,25,25
5.15,1.16,8.12,25,22
5.15,0.76,8.52,25,19
5.3,0.84,8.68,25,20
5.725,0.68,9.48,25,22
4.925,0.72,8.2,25,17
5.25,0.8,8.6,25,18
5.65,0.64,9.4,25,20
6.15,1.28,9.6,25,29
5.2,1.08,8.24,25,21
5.15,1.0,8.24,25,20
5.95,0.72,9.8,25,20
5.45,1.2,8.52,25,21
6.15,1.2,9.64,25,23
5.2,1.04,8.28,25,22
5.55,0.8,9.08,25,19
4.55,0.64,7.64,25,19
6.275,1.44,9.6,25,21
5.975,1.24,9.32,25,21
6.05,1.12,9.56,25,20
6.9,1.0,11.08,25,23
5.875,0.84,9.56,25,22
5.9,1.4,9.04,25,19
5.325,0.96,8.56,25,18
6.45,1.04,10.28,25,24
5.575,0.88,9.04,25,20
5.7,0.8,9.36,25,20
5.7,0.52,9.6,25,18
5.1,0.64,8.52,25,18
5.625,0.48,9.52,25,22
5.825,0.72,9.6,25,22
5.625,1.4,8.6,25,20
5.1,0.68,8.48,25,17
5.7,1.0,9.12,25,19
4.675,0.8,7.68,25,20
5.475,0.88,8.88,25,20
4.9,0.8,8.04,25,20
6.25,1.32,9.68,25,22
5.625,1.0,9.0,25,18
5.2,0.8,8.52,25,19
5.225,1.0,8.36,25,19
5.0,0.56,8.48,25,20
5.75,0.88,9.36,25,22
6.7,1.56,10.2,25,20
5.0,0.84,8.16,25,21
5.775,0.68,9.56,25,20
5.425,0.76,8.92,25,20
6.075,0.96,9.76,25,20
5.325,0.76,8.76,25,22
6.45,1.08,10.24,25,21
5.475,0.8,9.0,25,19
6.05,0.92,9.76,25,25
5.75,1.4,8.8,25,18
4.725,0.72,7.84,25,19
5.475,0.92,8.84,25,21
5.875,0.72,9.68,25,19
5.375,0.96,8.64,25,18
5.3,0.64,8.84,25,23
5.875,1.48,8.92,25,25
5.55,0.64,9.24,25,20
6.15,1.4,9.48,25,21
4.975,0.64,8.32,25,20
5.9,0.72,9.72,25,21
5.875,0.72,9.68,25,19
5.575,1.56,8.36,25,22
5.4,0.68,8.96,25,21
5.2,0.8,8.52,25,22
4.775,0.76,7.88,25,20
5.25,1.16,8.24,25,19
6.075,1.16,9.56,25,21
5.275,1.16,8.28,25,19
5.85,1.36,9.0,25,23
5.925,0.68,9.8,25,19
5.075,0.52,8.64,25,17
6.1,0.84,9.92,25,19
4.975,0.84,8.12,25,16
5.525,1.08,8.76,25,20
5.65,0.72,9.32,25,19
5.775,1.36,8.88,25,21
