taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
17.45,7.44,8.88,25,39
19.1,7.88,9.72,25,35
17.25,8.04,8.36,25,36
20.9,10.0,9.48,25,44
19.8,11.12,7.96,25,55
19.95,8.48,9.16,25,41
15.15,7.08,7.04,25,30
17.7,7.68,8.2,25,35
17.85,7.48,9.08,25,33
21.7,8.68,9.72,25,44
19.2,10.24,8.08,25,34
21.1,10.24,8.84,25,46
18.0,6.96,9.2,25,36
17.6,7.2,9.16,25,35
18.6,8.4,8.32,25,44
22.2,10.44,9.6,25,36
22.55,10.12,9.84,25,40
18.0,7.64,9.36,25,41
17.9,9.56,6.52,25,35
20.05,9.32,8.32,25,40
21.65,10.52,9.76,25,51
19.1,9.68,8.08,25,40
23.55,10.84,9.68,25,49
19.25,10.32,9.52,25,41
19.0,8.8,8.8,25,38
12.1,4.8,6.36,25,24
18.2,7.8,8.72,25,36
20.1,10.88,7.92,25,38
19.15,7.32,8.52,25,39
21.6,10.16,10.24,25,47
18.55,8.04,8.36,25,34
19.8,9.04,9.0,25,41
19.15,8.72,7.96,25,36
19.3,9.84,8.16,25,38
16.95,8.12,8.2,25,36
20.55,8.96,9.2,25,37
16.45,6.52,8.72,25,31
19.85,8.84,9.24,25,44
16.3,5.6,9.32,25,36
19.05,8.64,9.2,25,40
19.6,9.0,8.2,25,45
20.9,9.2,8.88,25,40
19.35,9.92,8.24,25,40
18.55,7.6,8.16,25,34
21.75,9.8,9.84,25,43
18.15,9.32,8.2,25,34
20.75,9.32,9.48,25,33
18.3,7.84,9.0,25,34
19.55,8.6,9.16,25,36
20.35,8.76,9.44,25,40
17.7,8.4,8.16,25,38
22.05,10.76,9.8,25,51
23.3,10.72,10.28,25,51
20.35,8.08,9.84,25,46
21.25,9.28,8.88,25,38
18.6,7.84,8.92,25,40
17.95,7.28,9.24,25,34
21.05,10.4,9.08,25,40
17.7,8.08,8.0,25,32
17.4,7.24,7.8,25,31
18.9,9.32,8.44,25,44
20.3,9.68,8.36,25,40
17.2,7.76,8.2,25,34
21.55,10.4,9.56,25,44
18.05,9.6,7.84,25,36
19.3,10.16,8.12,25,36
19.55,9.56,8.4,25,36
20.7,12.08,9.56,25,49
18.15,7.56,9.04,25,35
18.5,8.12,8.28,25,34
20.8,10.32,9.0,25,47
16.75,6.72,9.0,25,34
16.15,8.04,6.56,25,30
18.65,8.52,8.36,25,32
17.85,7.72,8.24,25,43
20.1,10.4,8.92,25,39
21.75,11.88,8.96,25,60
15.5,6.48,7.56,25,31
17.85,8.4,8.44,25,35
19.9,8.52,9.72,25,44
18.35,8.52,8.96,25,32
19.1,8.36,8.76,25,34
15.2,7.12,8.2,25,43
19.85,9.4,8.84,25,37
16.75,6.6,8.48,25,31
18.4,7.36,9.24,25,39
21.8,9.36,9.84,25,36
17.75,7.24,8.56,25,33
18.3,7.52,8.48,25,39
19.4,8.76,8.16,25,35
20.3,9.88,8.64,25,43
17.5,7.16,8.8,25,33
17.95,8.4,8.88,25,40
19.4,9.68,7.6,25,35
15.25,5.76,8.04,25,35
20.6,8.68,8.92,25,43
18.85,8.08,8.88,25,37
18.9,8.0,9.72,25,35
18.8,8.8,8.48,25,33
16.7,7.96,7.36,25,36
