taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
83.8,128.8,16.2,1,150
82.5,132.48,12.28,1,150
89.7,136.6,13.4,0,150
85.2,133.84,15.64,1,150
87.1,136.56,13.44,0,150
86.0,130.16,19.84,0,150
86.4,130.36,19.64,0,150
83.8,136.08,13.92,0,150
88.4,127.84,16.84,3,150
86.3,133.84,16.16,0,150
87.2,135.72,12.04,1,150
88.0,135.16,14.84,0,150
86.0,131.16,18.84,0,150
85.8,129.44,16.88,1,150
84.2,133.8,16.2,0,150
85.3,133.76,15.76,1,150
89.0,131.44,17.28,1,150
78.7,132.28,17.72,0,150
87.0,131.68,18.32,0,150
83.7,131.8,18.2,0,150
85.5,133.48,11.24,1,150
89.7,131.28,18.72,0,150
86.5,133.68,12.4,1,150
86.3,129.64,20.36,0,150
85.5,133.16,15.92,1,150
87.4,133.64,14.64,1,150
87.3,126.8,18.68,1,150
85.7,135.36,14.48,1,150
85.4,128.84,15.24,1,150
86.1,136.64,13.36,0,150
85.2,132.8,17.2,0,150
83.3,139.72,10.28,0,150
86.7,132.88,15.04,1,150
83.4,136.88,13.12,0,150
86.6,135.84,14.16,0,150
85.6,137.36,12.64,0,150
85.1,135.16,14.84,0,150
87.0,131.04,15.44,1,150
86.1,133.32,16.68,0,150
85.8,131.76,14.64,1,150
85.0,127.88,18.08,1,150
82.7,136.44,13.56,0,150
86.6,127.88,18.68,1,150
83.8,136.04,13.84,1,150
81.6,135.84,14.16,0,150
87.0,128.6,17.28,1,150
84.5,134.32,12.92,2,150
87.7,133.8,16.2,0,150
88.1,126.16,14.32,2,150
86.8,127.16,19.12,2,150
81.4,131.76,12.88,1,150
89.6,123.44,20.0,2,150
85.3,134.52,13.64,1,150
86.0,130.6,17.52,1,150
85.1,124.44,16.08,3,150
85.3,135.08,14.92,0,150
84.3,134.12,15.88,0,150
85.9,127.2,17.2,1,150
85.8,134.8,15.2,0,150
85.7,132.36,17.64,0,150
83.9,120.0,15.8,4,150
86.3,127.56,18.48,1,150
86.9,127.76,18.12,1,150
88.1,131.52,18.48,0,150
86.5,129.44,13.04,2,150
83.4,132.16,14.64,1,150
83.3,132.96,17.04,0,150
83.6,135.28,14.72,0,150
85.4,127.16,17.56,1,150
85.6,133.88,16.12,0,150
86.3,127.4,21.32,1,150
83.9,132.32,17.68,0,150
84.3,127.28,13.96,2,150
88.1,134.72,15.28,0,150
85.5,130.36,16.2,1,150
86.3,132.08,17.92,0,150
83.5,135.28,14.72,0,150
83.8,132.4,11.96,2,150
85.0,129.32,12.88,2,150
87.0,129.52,11.44,2,150
83.5,134.42307692307693,15.5,1,150
81.2,134.64,14.24,1,150
82.6,134.48,15.52,0,150
89.7,128.12,14.84,2,150
86.2,137.68,12.32,0,150
84.6,122.96,21.08,2,150
84.8,131.84,14.36,2,150
84.6,133.28,16.56,1,150
87.3,127.88,18.96,1,150
88.7,128.72,17.32,1,150
83.3,127.56,19.76,1,150
84.0,130.32,15.2,3,150
88.4,133.32,16.68,0,150
88.5,134.76,15.24,0,150
84.6,124.2,17.52,2,150
86.1,135.8,14.2,0,150
84.1,137.16,12.84,0,150
83.2,129.68,16.12,1,150
88.0,130.76,19.24,0,150
84.0,132.4,17.6,0,150
