taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
18.7,10.16,9.16,25,47
17.3,10.0,7.6,25,53
20.0,10.04,9.92,25,37
15.6,8.36,7.68,25,44
19.35,10.72,9.4,25,51
16.6,9.28,7.84,25,38
20.0,11.36,8.72,25,54
16.85,9.4,7.56,25,36
20.1,9.64,10.88,25,39
18.7,10.0,9.4,25,39
17.05,8.52,8.36,25,35
18.55,10.36,9.2,25,42
20.75,12.12,9.56,25,56
18.25,10.88,7.84,25,43
18.5,10.16,8.76,25,40
17.65,9.84,8.48,25,42
18.4,10.88,8.12,25,43
18.9,11.08,8.52,25,53
18.45,10.56,8.28,25,42
16.45,10.56,7.08,25,43
15.9,7.32,7.8,25,36
17.5,10.4,8.28,25,52
19.4,11.84,8.16,25,47
22.2,13.32,9.6,25,54
19.55,8.88,10.36,25,41
17.2,10.6,7.92,25,53
19.3,12.2,8.76,25,52
18.9,10.24,9.24,25,61
19.55,11.2,8.48,25,42
20.35,10.28,9.96,25,47
20.2,10.24,9.64,25,46
19.7,12.16,8.84,25,56
20.25,11.6,8.56,25,38
18.25,10.04,8.56,25,51
17.85,10.16,8.04,25,38
20.3,11.0,9.48,25,50
19.1,11.52,8.28,25,49
18.4,9.28,9.24,25,49
19.3,9.52,10.0,25,59
16.9,10.04,8.0,25,38
20.9,12.48,9.2,25,50
17.8,10.24,8.2,25,46
18.4,11.72,8.72,25,75
18.5,12.16,7.88,25,69
21.55,12.76,9.72,25,48
16.75,9.56,7.96,25,45
19.5,12.12,8.52,25,42
20.35,10.16,9.76,25,43
19.15,11.64,9.04,25,50
16.95,9.56,9.0,25,60
19.7,10.96,9.24,25,46
21.55,12.48,9.8,25,46
17.85,9.04,9.48,25,50
18.6,9.32,9.24,25,42
17.8,9.96,8.84,25,49
20.5,11.48,9.56,25,42
18.3,9.2,9.04,25,36
19.2,9.68,9.8,25,46
18.6,9.08,9.6,25,55
20.15,12.04,9.48,25,54
18.8,10.08,9.04,25,50
18.65,9.6,9.44,25,47
18.5,9.8,8.64,25,41
20.65,12.4,9.8,25,55
21.7,11.04,10.08,25,44
19.55,11.84,7.92,25,50
19.9,10.6,9.08,25,46
17.9,9.32,8.6,25,41
17.45,9.28,8.44,25,38
20.55,11.2,9.28,25,42
19.85,13.08,8.64,25,66
20.55,10.44,10.68,25,48
16.65,9.4,8.2,25,52
19.4,10.76,9.04,25,41
20.05,12.56,9.2,25,65
21.65,12.48,10.04,25,66
18.55,10.16,8.32,25,42
23.05,15.56,10.6,25,71
19.65,11.8,9.04,25,44
14.5,7.44,7.08,25,34
20.1,11.12,9.56,25,50
18.35,10.44,8.04,25,35
19.05,11.44,8.56,25,56
18.85,10.64,9.4,25,46
20.45,12.96,8.6,25,54
17.8,11.0,9.12,25,54
19.1,10.12,8.84,25,38
20.25,11.2,9.32,25,52
20.3,10.92,10.04,25,58
19.6,11.2,9.0,25,47
17.75,8.96,9.08,25,44
19.35,10.0,9.76,25,54
18.4,10.2,8.6,25,55
18.9,10.6,9.12,25,48
16.65,8.64,8.92,25,36
17.5,9.56,8.32,25,39
19.3,11.28,9.04,25,46
21.85,11.8,10.32,25,53
14.45,10.12,6.48,25,48
18.3,9.08,9.08,25,37
