taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
86.2,110.96,30.2,3,150
85.05,112.92,27.4,2,150
85.85,121.6923076923077,24.576923076923077,2,150
83.0,123.04,26.96,0,150
86.25,115.48,34.52,0,150
86.75,113.24,32.88,1,150
87.85,120.04,26.32,1,150
85.95,121.12,28.88,0,150
85.45,115.8,28.52,1,150
85.8,116.76,31.2,1,150
87.3,120.64,23.16,3,150
85.1,120.8,26.92,1,150
89.0,112.16,26.6,2,150
85.15,116.24,32.56,1,150
83.2,119.52,30.48,0,150
86.75,119.44,30.56,0,150
86.65,121.28,28.72,0,150
87.4,115.84,29.12,3,150
86.6,113.76,31.56,1,150
86.8,114.88,24.76,3,150
86.75,110.12,30.48,5,150
85.8,119.32,26.08,1,150
85.5,126.44,20.6,2,150
89.35,118.4,31.6,0,150
85.0,115.84,32.88,1,150
83.1,119.6,26.48,2,150
86.35,119.04,30.96,0,150
85.3,112.08,30.8,2,150
87.4,109.64,36.16,1,150
83.4,118.88,27.56,1,150
87.9,115.8,28.16,2,150
84.45,122.72,27.28,0,150
83.5,116.32,28.16,2,150
87.95,113.48,25.16,3,150
85.45,118.84,25.88,1,150
84.2,124.44,21.44,1,150
88.1,117.44,31.84,1,150
86.75,112.36,26.0,3,150
86.35,115.44,30.84,2,150
85.3,119.36,30.64,0,150
84.35,117.96,28.64,1,150
85.6,120.44,29.56,0,150
84.75,119.24,23.76,2,150
84.55,127.52,22.48,0,150
84.85,121.84,26.64,1,150
87.6,109.52,28.88,3,150
85.35,115.72,23.64,3,150
84.55,119.48,30.52,0,150
84.8,120.08,25.88,1,150
86.8,109.96,32.76,2,150
84.3,120.44,29.56,0,150
85.15,121.24,27.8,1,150
87.35,115.56,27.24,3,150
86.35,121.6,28.4,0,150
84.95,118.76,31.08,1,150
86.95,112.0,33.52,1,150
86.15,121.08,28.92,0,150
84.45,120.08,24.28,1,150
85.5,113.04,26.44,3,150
85.25,111.36,35.92,1,150
86.25,119.16,26.12,1,150
85.7,108.04,25.72,5,150
87.35,113.0,31.64,2,150
87.15,117.96,29.56,1,150
87.65,119.88,30.12,0,150
87.9,120.64,24.16,1,150
85.25,122.6,27.4,0,150
85.5,116.04,31.56,1,150
86.1,118.84,31.16,0,150
83.75,125.72,24.28,0,150
85.45,121.04,28.96,0,150
82.7,116.16,33.84,0,150
85.9,109.52,36.08,1,150
85.75,113.88,25.32,3,150
84.35,115.16,33.0,1,150
84.15,124.92,25.08,0,150
85.6,118.88,28.88,1,150
83.35,110.72,31.48,3,150
86.95,115.04,29.88,2,150
82.4,114.08,32.92,1,150
87.4,114.68,31.16,2,150
84.15,117.76,32.24,0,150
85.75,118.56,27.84,1,150
89.85,113.48,32.2,1,150
87.65,121.44,28.56,0,150
84.95,109.28,33.4,2,150
85.8,112.48,28.04,2,150
83.95,120.36,25.12,1,150
86.3,127.4,22.6,0,150
84.8,120.8,28.24,1,150
87.15,121.52,28.48,0,150
83.5,112.28,25.84,3,150
86.35,123.84,22.16,1,150
84.8,105.44,27.96,4,150
85.7,113.08,31.08,3,150
83.55,114.92,30.56,2,150
85.85,123.72,25.68,1,150
87.85,122.12,27.88,0,150
85.1,120.08,29.92,0,150
85.3,119.12,30.88,0,150
