taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
29.5,13.36,9.0,25,42
28.3,12.84,8.32,25,47
31.3,14.88,8.24,25,47
36.6,16.0,10.84,25,54
31.7,13.68,9.04,25,52
31.0,13.56,9.52,25,47
27.4,14.72,7.72,25,40
36.2,16.68,9.88,25,48
29.7,15.04,7.88,25,42
29.8,14.16,8.68,25,44
31.7,15.84,9.2,25,44
35.6,15.48,9.72,25,54
33.2,15.48,9.96,25,51
34.2,16.2,9.6,25,51
33.7,15.16,9.44,25,49
34.8,14.72,9.56,25,53
29.0,13.68,7.36,25,41
30.7,14.16,9.0,25,48
31.2,15.56,9.08,25,44
33.6,15.52,8.92,25,47
37.3,16.8,10.52,25,55
33.8,16.16,9.32,25,50
31.9,13.68,9.96,25,45
28.8,14.4,7.96,25,44
28.8,13.32,8.24,25,42
33.1,16.2,8.92,25,44
31.9,14.92,9.24,25,44
28.8,13.84,8.0,25,45
35.0,16.76,9.6,25,46
32.6,14.08,10.04,25,50
32.0,15.08,9.0,25,47
33.2,14.96,9.08,25,52
30.3,15.48,8.76,25,46
31.2,14.52,8.72,25,45
32.3,14.52,9.8,25,47
27.4,13.0,7.72,25,43
31.5,15.64,8.56,25,47
31.0,14.36,8.64,25,45
27.7,14.44,7.12,25,47
28.8,13.24,8.2,25,48
32.6,15.92,9.2,25,43
29.2,13.04,8.4,25,47
35.5,18.04,9.04,25,54
24.7,12.92,6.44,25,40
35.1,15.28,9.64,25,48
31.2,15.64,8.84,25,44
34.1,16.24,10.28,25,50
34.1,16.88,9.44,25,55
30.8,13.92,9.12,25,41
34.7,16.68,9.48,25,48
31.5,15.24,9.64,25,45
28.1,14.32,7.52,25,44
29.6,14.88,8.36,25,45
31.2,14.48,8.88,25,53
32.1,15.68,9.0,25,46
29.7,14.96,7.96,25,44
30.1,15.4,8.68,25,44
29.6,13.52,8.2,25,41
31.3,15.24,9.04,25,49
31.4,15.8,8.36,25,48
28.6,14.4,7.2,25,44
31.2,16.36,8.12,25,43
29.0,14.96,7.36,25,42
33.0,15.36,8.12,25,48
29.0,13.08,8.52,25,46
30.8,14.52,8.48,25,45
31.0,13.52,8.84,25,48
33.3,15.44,9.0,25,56
33.0,16.8,8.72,25,49
26.9,12.6,7.56,25,42
27.5,12.48,8.0,25,43
32.6,17.04,8.48,25,46
33.1,15.96,9.44,25,52
29.0,12.72,8.76,25,40
31.0,14.28,8.72,25,44
32.0,15.96,8.32,25,47
38.0,19.16,9.64,25,53
28.3,14.12,7.48,25,43
33.5,15.96,9.52,25,54
29.9,14.08,8.92,25,43
32.1,15.4,9.0,25,53
29.0,14.0,8.28,25,49
31.1,14.64,8.32,25,47
33.5,15.68,9.36,25,51
33.8,15.96,9.24,25,49
30.3,15.0,8.04,25,44
34.8,16.04,9.64,25,49
31.5,15.48,8.84,25,43
30.3,14.68,8.56,25,48
35.8,17.8,9.88,25,53
29.0,12.36,9.04,25,48
33.8,15.16,9.8,25,52
29.4,13.12,8.84,25,40
35.6,16.92,9.72,25,50
35.8,16.44,9.96,25,58
29.0,13.64,8.36,25,40
33.9,15.36,9.72,25,53
30.8,13.52,9.36,25,46
31.5,14.8,9.12,25,43
27.8,12.96,7.52,25,40
