taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
15.0,5.68,8.96,25,32
15.5,5.08,10.2,25,30
13.6,4.4,8.48,25,27
13.25,4.84,8.12,25,23
15.0,4.36,10.16,25,29
13.7,5.0,8.56,25,30
13.65,5.0,8.4,25,29
13.4,4.52,8.44,25,36
10.9,3.84,7.08,25,24
13.3,4.24,8.44,25,26
12.2,3.36,8.52,25,28
14.05,4.12,9.16,25,27
13.5,4.36,8.64,25,33
13.8,4.28,9.4,25,25
14.05,4.0,9.64,25,31
12.6,4.28,8.12,25,27
11.2,3.52,7.52,25,28
13.1,3.64,8.92,25,25
11.3,4.04,7.0,25,23
13.1,4.0,8.72,25,29
13.45,5.0,8.2,25,28
12.55,3.76,8.6,25,27
13.15,3.84,9.0,25,25
13.9,5.0,8.64,25,24
14.6,4.68,9.4,25,32
13.2,3.68,9.12,25,31
14.7,5.8,8.28,25,29
13.65,4.6,8.84,25,24
12.95,4.08,8.56,25,31
12.05,2.88,8.68,25,27
14.7,4.76,9.36,25,29
11.55,3.4,8.0,25,24
12.45,3.84,8.12,25,31
12.9,4.24,8.6,25,23
13.2,4.04,8.68,25,30
12.9,3.88,8.92,25,28
12.5,4.88,7.4,25,29
12.8,4.44,8.08,25,31
14.05,4.48,9.04,25,29
11.9,4.12,7.68,25,29
12.3,3.96,8.12,25,25
14.8,5.04,9.08,25,29
14.0,5.08,8.44,25,32
16.6,5.08,10.8,25,27
11.65,3.68,7.8,25,24
13.9,4.28,9.28,25,26
14.8,4.6,9.64,25,23
15.4,5.24,10.08,25,26
14.7,4.8,9.52,25,31
13.25,4.04,8.96,25,29
13.25,4.0,8.8,25,28
12.2,4.32,7.48,25,25
14.05,4.32,9.4,25,28
12.2,4.4,7.68,25,24
12.05,4.24,7.64,25,23
13.85,4.72,8.4,25,29
13.5,4.8,8.36,25,27
11.95,3.72,7.96,25,23
12.6,4.12,8.2,25,25
14.1,3.32,10.28,25,27
14.35,5.28,8.64,25,28
14.7,4.76,9.28,25,30
13.2,4.12,8.68,25,27
12.65,3.24,9.24,25,27
12.65,3.6,8.68,25,26
13.45,4.48,8.68,25,28
13.55,5.4,8.04,25,29
14.35,4.84,9.12,25,28
12.9,4.04,8.2,25,26
13.3,4.12,8.88,25,29
12.25,4.2,7.88,25,29
13.5,5.12,8.08,25,27
14.95,4.72,9.68,25,27
13.1,4.28,8.52,25,26
13.4,4.44,8.88,25,27
14.4,4.92,8.92,25,26
13.8,4.64,8.84,25,32
13.4,4.56,8.68,25,29
13.8,5.16,8.48,25,27
13.4,3.84,8.76,25,29
13.8,4.04,9.44,25,32
13.0,3.52,8.88,25,24
15.25,5.4,9.52,25,32
12.65,4.92,7.64,25,29
14.35,4.88,8.68,25,28
11.85,3.28,8.0,25,29
15.1,5.16,9.64,25,30
13.6,4.92,8.48,25,22
12.85,3.64,8.76,25,23
14.3,4.32,9.52,25,30
11.8,3.68,7.88,25,25
13.75,4.12,9.48,25,26
14.0,4.36,9.28,25,25
12.1,4.24,7.32,25,28
14.05,4.2,9.32,25,30
13.55,3.88,9.04,25,27
12.45,3.76,8.52,25,25
14.25,4.84,8.96,25,28
11.3,4.12,7.12,25,25
15.45,5.4,9.84,25,34
