taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
11.325,1.52,9.2,25,23
8.5,1.08,9.0,25,20
6.45,0.52,8.56,25,20
9.1,1.24,9.32,25,21
7.825,0.84,8.88,25,21
7.25,0.44,8.24,25,21
9.5,1.08,8.76,25,25
8.3,0.88,9.84,25,21
9.45,1.16,8.64,25,24
8.7,1.36,9.44,25,27
7.225,0.76,8.28,25,22
7.65,0.8,8.68,25,19
8.85,0.92,9.24,25,19
6.975,0.32,9.6,25,18
9.475,1.12,9.2,25,25
7.4,0.64,9.32,25,21
8.6,0.64,9.92,25,20
7.275,0.8,8.36,25,19
8.025,1.08,9.12,25,20
7.375,0.72,8.28,25,22
7.825,1.2,9.12,25,21
9.875,1.16,9.44,25,25
6.8,0.96,8.12,25,17
10.45,0.96,8.92,25,18
6.475,0.8,6.88,25,17
11.05,1.84,10.08,25,27
7.975,1.28,9.0,25,23
12.5,1.64,9.24,25,29
7.9,1.24,8.96,25,18
9.1,1.52,7.8,25,23
8.875,1.4,8.28,25,22
9.0,1.0,9.48,25,19
9.4,1.56,8.4,25,20
10.55,1.28,10.0,25,29
8.3,1.72,8.12,25,18
9.7,1.32,9.44,25,22
9.9,1.2,7.68,25,26
8.325,1.84,7.68,25,23
7.2,0.68,8.12,25,17
7.825,1.04,8.12,25,20
9.15,1.44,9.48,25,21
6.7,0.64,8.12,25,18
7.425,1.12,7.2,25,19
9.425,1.56,8.44,25,21
7.325,0.52,10.16,25,21
8.6,1.12,8.8,25,16
9.15,1.6,8.12,25,21
9.6,1.24,10.2,25,23
6.975,0.68,7.88,25,20
8.675,0.8,9.04,25,20
7.45,0.68,8.44,25,18
8.25,1.08,8.88,25,20
9.175,1.36,9.36,25,24
10.425,1.2,9.76,25,20
7.075,1.0,8.32,25,19
8.525,0.52,9.76,25,19
8.6,1.4,9.2,25,21
7.675,1.0,8.32,25,18
9.325,1.36,10.2,25,23
7.25,0.6,8.2,25,20
8.875,1.28,9.0,25,20
7.5,0.88,8.48,25,17
11.425,1.84,8.44,25,28
7.15,0.56,9.0,25,21
9.075,1.24,9.4,25,21
7.375,0.88,8.92,25,17
8.675,1.0,8.6,25,22
7.825,1.04,7.96,25,24
8.4,1.16,8.8,25,21
8.7,1.0,9.84,25,22
9.425,0.92,10.84,25,20
7.1,0.88,7.68,25,21
8.825,0.88,8.72,25,20
9.725,1.44,9.28,25,25
7.7,0.72,8.88,25,23
9.875,1.16,9.6,25,23
7.1,0.76,8.76,25,24
8.225,1.04,8.76,25,23
7.975,0.84,8.32,25,19
9.4,1.4,8.88,25,22
8.225,0.84,8.2,25,18
7.475,1.32,8.84,25,21
8.675,1.08,7.4,25,23
7.9,0.6,10.16,25,24
8.225,1.32,8.36,25,23
7.75,0.92,9.0,25,21
6.9,0.68,7.4,25,25
10.125,1.56,8.84,25,21
8.45,1.2,8.96,25,21
9.0,1.12,8.44,25,22
9.5,1.28,9.04,25,22
8.1,0.64,10.44,25,20
6.825,0.88,8.2,25,22
10.575,1.48,9.44,25,25
9.075,1.28,8.48,25,22
8.075,1.16,9.28,25,21
8.95,1.12,9.0,25,25
8.95,1.16,9.24,25,25
10.425,1.72,10.72,25,25
9.225,0.96,10.36,25,27
