taxi_distance,pick_up_time,drop_off_time,n_delivered,n_steps
11.525,4.16,8.08,25,24
10.975,4.28,8.32,25,35
11.925,4.8,8.96,25,29
12.6,5.12,10.24,25,32
11.425,4.4,9.0,25,30
10.6,3.88,7.96,25,30
11.875,5.56,8.72,25,34
11.725,5.04,8.92,25,27
12.75,5.04,8.4,25,24
13.15,5.36,9.96,25,36
11.025,4.2,9.48,25,30
9.825,2.64,9.48,25,30
11.225,4.24,7.92,25,29
12.25,4.92,9.64,25,31
11.575,4.56,7.72,25,28
10.275,3.64,8.28,25,32
10.1,3.84,7.4,25,26
11.275,5.12,9.08,25,24
12.525,4.88,10.08,25,31
13.225,5.76,9.24,25,29
13.65,5.72,8.16,25,33
11.55,3.56,9.68,25,24
12.0,4.56,8.84,25,29
11.95,5.52,8.6,25,29
11.725,4.52,8.36,25,24
10.45,3.28,8.76,25,27
11.775,3.48,10.36,25,27
13.25,6.04,7.92,25,30
10.1,3.24,9.08,25,24
11.025,4.2,8.08,25,24
13.0,4.36,9.36,25,30
10.6,3.2,8.64,25,26
12.5,4.6,8.56,25,29
9.275,3.28,7.68,25,25
11.875,5.24,8.0,25,28
10.0,3.56,8.44,25,22
10.4,5.12,8.24,25,33
12.35,4.44,8.44,25,32
11.5,4.24,9.28,25,32
12.7,5.64,8.0,25,26
11.8,4.64,8.44,25,24
12.7,4.68,10.44,25,36
13.35,5.76,7.92,25,32
12.0,4.68,9.48,25,24
12.45,4.6,9.28,25,32
11.275,5.08,8.88,25,29
10.7,3.84,8.24,25,24
10.5,3.2,8.6,25,26
10.8,3.8,7.64,25,23
9.975,3.32,8.44,25,26
11.775,5.24,8.44,25,27
12.575,5.04,8.2,25,27
12.275,4.64,7.92,25,30
11.675,4.76,9.12,25,27
12.075,4.8,8.88,25,26
11.9,5.36,8.68,25,33
9.925,4.0,8.6,25,26
10.8,4.32,8.32,25,26
11.925,4.96,9.48,25,30
10.5,3.52,8.48,25,31
12.55,4.16,10.0,25,29
10.725,3.76,7.92,25,22
13.225,4.32,9.84,25,28
10.975,4.12,7.44,25,23
13.775,5.96,9.52,25,29
14.4,6.48,8.88,25,28
12.975,5.64,8.96,25,25
10.925,3.52,9.0,25,25
10.6,3.44,9.2,25,29
12.375,4.6,8.84,25,26
12.1,5.36,8.88,25,27
12.425,5.44,8.88,25,28
13.225,4.76,9.64,25,30
12.275,4.2,9.48,25,29
10.775,3.52,8.88,25,26
13.025,5.92,9.88,25,31
11.525,3.84,8.8,25,26
11.55,4.44,8.36,25,24
9.95,3.92,7.12,25,26
8.65,3.12,7.92,25,26
11.6,4.4,7.52,25,25
14.15,6.24,8.92,25,30
10.85,3.24,9.72,25,24
11.4,4.12,8.24,25,31
13.05,5.32,7.88,25,22
12.925,5.84,9.2,25,26
10.675,4.08,8.12,25,25
11.125,2.92,10.44,25,28
11.5,4.6,8.48,25,27
9.475,3.52,6.76,25,22
14.175,6.4,8.08,25,29
11.9,4.16,8.8,25,33
11.675,4.04,9.92,25,29
10.55,4.48,8.2,25,29
12.1,5.0,8.28,25,24
14.1,6.0,8.28,25,26
13.05,5.28,9.68,25,29
11.9,4.24,8.52,25,24
11.975,4.92,9.04,25,31
11.425,3.32,9.76,25,26
